traj_id,episode_index,task_index,instruction
traj_000,0,0,put the white mug on the left plate and put the yellow and white mug on the right plate
traj_001,1,1,put the white mug on the plate and put the chocolate pudding to the right of the plate
traj_002,2,2,put the yellow and white mug in the microwave and close it
traj_003,3,2,put the yellow and white mug in the microwave and close it
traj_004,4,1,put the white mug on the plate and put the chocolate pudding to the right of the plate
traj_005,5,1,put the white mug on the plate and put the chocolate pudding to the right of the plate
traj_006,6,3,turn on the stove and put the moka pot on it
traj_007,7,4,put both the alphabet soup and the cream cheese box in the basket
traj_008,8,5,put both the alphabet soup and the tomato sauce in the basket
traj_009,9,4,put both the alphabet soup and the cream cheese box in the basket
traj_010,10,6,put both moka pots on the stove
traj_011,11,1,put the white mug on the plate and put the chocolate pudding to the right of the plate
traj_012,12,7,put both the cream cheese box and the butter in the basket
traj_013,13,5,put both the alphabet soup and the tomato sauce in the basket
traj_014,14,8,put the black bowl in the bottom drawer of the cabinet and close it
traj_015,15,8,put the black bowl in the bottom drawer of the cabinet and close it
traj_016,16,8,put the black bowl in the bottom drawer of the cabinet and close it
traj_017,17,7,put both the cream cheese box and the butter in the basket
traj_018,18,0,put the white mug on the left plate and put the yellow and white mug on the right plate
traj_019,19,1,put the white mug on the plate and put the chocolate pudding to the right of the plate
traj_020,20,6,put both moka pots on the stove
traj_021,21,1,put the white mug on the plate and put the chocolate pudding to the right of the plate
traj_022,22,0,put the white mug on the left plate and put the yellow and white mug on the right plate
traj_023,23,6,put both moka pots on the stove
traj_024,24,7,put both the cream cheese box and the butter in the basket
traj_025,25,4,put both the alphabet soup and the cream cheese box in the basket
traj_026,26,5,put both the alphabet soup and the tomato sauce in the basket
traj_027,27,9,pick up the book and place it in the back compartment of the caddy
traj_028,28,9,pick up the book and place it in the back compartment of the caddy
traj_029,29,4,put both the alphabet soup and the cream cheese box in the basket
traj_030,30,4,put both the alphabet soup and the cream cheese box in the basket
traj_031,31,8,put the black bowl in the bottom drawer of the cabinet and close it
traj_032,32,8,put the black bowl in the bottom drawer of the cabinet and close it
traj_033,33,0,put the white mug on the left plate and put the yellow and white mug on the right plate
traj_034,34,2,put the yellow and white mug in the microwave and close it
traj_035,35,2,put the yellow and white mug in the microwave and close it
traj_036,36,8,put the black bowl in the bottom drawer of the cabinet and close it
traj_037,37,1,put the white mug on the plate and put the chocolate pudding to the right of the plate
traj_038,38,3,turn on the stove and put the moka pot on it
traj_039,39,5,put both the alphabet soup and the tomato sauce in the basket
traj_040,40,3,turn on the stove and put the moka pot on it
traj_041,41,4,put both the alphabet soup and the cream cheese box in the basket
traj_042,42,7,put both the cream cheese box and the butter in the basket
traj_043,43,7,put both the cream cheese box and the butter in the basket
traj_044,44,2,put the yellow and white mug in the microwave and close it
traj_045,45,3,turn on the stove and put the moka pot on it
traj_046,46,6,put both moka pots on the stove
traj_047,47,9,pick up the book and place it in the back compartment of the caddy
traj_048,48,3,turn on the stove and put the moka pot on it
traj_049,49,3,turn on the stove and put the moka pot on it
traj_050,50,3,turn on the stove and put the moka pot on it
traj_051,51,6,put both moka pots on the stove
traj_052,52,1,put the white mug on the plate and put the chocolate pudding to the right of the plate
traj_053,53,7,put both the cream cheese box and the butter in the basket
traj_054,54,6,put both moka pots on the stove
traj_055,55,9,pick up the book and place it in the back compartment of the caddy
traj_056,56,7,put both the cream cheese box and the butter in the basket
traj_057,57,6,put both moka pots on the stove
traj_058,58,0,put the white mug on the left plate and put the yellow and white mug on the right plate
traj_059,59,2,put the yellow and white mug in the microwave and close it
traj_060,60,7,put both the cream cheese box and the butter in the basket
traj_061,61,9,pick up the book and place it in the back compartment of the caddy
traj_062,62,1,put the white mug on the plate and put the chocolate pudding to the right of the plate
traj_063,63,4,put both the alphabet soup and the cream cheese box in the basket
traj_064,64,9,pick up the book and place it in the back compartment of the caddy
traj_065,65,7,put both the cream cheese box and the butter in the basket
traj_066,66,3,turn on the stove and put the moka pot on it
traj_067,67,6,put both moka pots on the stove
traj_068,68,1,put the white mug on the plate and put the chocolate pudding to the right of the plate
traj_069,69,5,put both the alphabet soup and the tomato sauce in the basket
traj_070,70,6,put both moka pots on the stove
traj_071,71,5,put both the alphabet soup and the tomato sauce in the basket
traj_072,72,3,turn on the stove and put the moka pot on it
traj_073,73,6,put both moka pots on the stove
traj_074,74,4,put both the alphabet soup and the cream cheese box in the basket
traj_075,75,8,put the black bowl in the bottom drawer of the cabinet and close it
traj_076,76,7,put both the cream cheese box and the butter in the basket
traj_077,77,5,put both the alphabet soup and the tomato sauce in the basket
traj_078,78,7,put both the cream cheese box and the butter in the basket
traj_079,79,5,put both the alphabet soup and the tomato sauce in the basket
traj_080,80,2,put the yellow and white mug in the microwave and close it
traj_081,81,9,pick up the book and place it in the back compartment of the caddy
